id,date,round,hteam,ateam,hscore,ascore,venue,winner,complete,margin
35894,2024-08-17 19:30:00,23,St Kilda,Geelong,107,89,Docklands,St Kilda,100,18
35895,2024-08-18 13:10:00,23,Western Bulldogs,North Melbourne,138,42,Docklands,Western Bulldogs,100,96
35893,2024-08-18 15:20:00,23,Hawthorn,Richmond,131,68,M.C.G.,Hawthorn,100,63
35897,2024-08-18 16:40:00,23,West Coast,Carlton,34,99,Perth Stadium,Carlton,100,-65
35902,2024-08-23 19:40:00,24,Melbourne,Collingwood,57,103,M.C.G.,Collingwood,100,-46
35900,2024-08-24 13:45:00,24,Geelong,West Coast,168,75,Kardinia Park,Geelong,100,93
35903,2024-08-24 14:10:00,24,Richmond,Gold Coast,66,94,M.C.G.,Gold Coast,100,-28
35901,2024-08-24 16:35:00,24,Hawthorn,North Melbourne,170,46,York Park,Hawthorn,100,124
35898,2024-08-24 19:25:00,24,Brisbane Lions,Essendon,87,67,Gabba,Brisbane Lions,100,20
35904,2024-08-24 19:40:00,24,Sydney,Adelaide,121,90,S.C.G.,Sydney,100,31
35905,2024-08-25 12:30:00,24,Western Bulldogs,Greater Western Sydney,98,61,Eureka Stadium,Western Bulldogs,100,37
35899,2024-08-25 15:20:00,24,Carlton,St Kilda,74,76,Docklands,St Kilda,100,-2
35906,2024-08-25 18:10:00,24,Fremantle,Port Adelaide,67,87,Perth Stadium,Port Adelaide,100,-20
35910,2024-09-05 19:40:00,25,Port Adelaide,Geelong,54,138,Adelaide Oval,Geelong,100,-84
35908,2024-09-06 19:40:00,25,Western Bulldogs,Hawthorn,62,99,M.C.G.,Hawthorn,100,-37
35909,2024-09-07 15:20:00,25,Sydney,Greater Western Sydney,88,82,S.C.G.,Sydney,100,6
35907,2024-09-07 19:30:00,25,Brisbane Lions,Carlton,99,71,Gabba,Brisbane Lions,100,28
35912,2024-09-13 19:40:00,26,Port Adelaide,Hawthorn,75,72,Adelaide Oval,Port Adelaide,100,3
35911,2024-09-14 19:30:00,26,Greater Western Sydney,Brisbane Lions,100,105,Sydney Showground,Brisbane Lions,100,-5
36462,2024-09-20 19:40:00,27,Sydney,Port Adelaide,95,59,S.C.G.,Sydney,100,36
36463,2024-09-21 17:15:00,27,Geelong,Brisbane Lions,85,95,M.C.G.,Brisbane Lions,100,-10
35915,2024-09-28 14:30:00,28,Sydney,Brisbane Lions,60,120,M.C.G.,Brisbane Lions,100,-60
